                                Title: B2B billing analysis Spain      Country: Spain,,,,,,,,,,,,,,,,,,,,,,
                                Description: B2B analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                Period: Billing from 2010-07-01 to 2014-07-31,,,,,,,,,,,,,,,,,,,,,,
                                Run date: 01Aug2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,Ctry code,Customer,Boarding date,Cust nbr,Inv nbr,Inv date,Due date,Inv tot amt,Revtype,Settled date,Pmt delay,Status,Rundate,Disputenumber,Status2,Startdate,Enddate,Dispreasoncode,Dispreasoncodedesc,Invdisputedate,Resdate,Paper / Electronic
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1406507,02-04-2014,01-05-2014,"10,222.76",TLA,17-04-2014,-14,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1406508,02-04-2014,01-05-2014,"2,860.26",TLA,17-04-2014,-14,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1408729,06-05-2014,01-06-2014,"2,860.26",TLA,25-06-2014,24,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1410901,03-06-2014,01-07-2014,"2,860.26",TLA,24-06-2014,-7,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1413325,02-07-2014,01-08-2014,"10,222.76",TLA,29-07-2014,-3,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1413326,02-07-2014,01-08-2014,"2,860.26",TLA,29-07-2014,-3,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503762,02-07-2010,01-08-2010,"27,727.30",GTS,03-08-2010,2,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503846,08-07-2010,07-08-2010,"10,899.64",GTS,23-08-2010,16,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503899,14-07-2010,13-08-2010,"60,857.44",GTS,24-08-2010,11,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503914,15-07-2010,14-08-2010,"2,043.62",GTS,24-08-2010,10,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503923,16-07-2010,15-08-2010,"20,313.90",GTS,24-08-2010,9,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9503977,21-07-2010,20-08-2010,"4,572.58",GTS,31-08-2010,11,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504501,26-08-2010,25-09-2010,"60,857.45",GTS,30-09-2010,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504546,27-08-2010,26-09-2010,"4,223.29",GTS,30-09-2010,4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9504885,08-09-2010,08-10-2010,"60,857.45",GTS,15-10-2010,7,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9505132,23-09-2010,23-10-2010,"12,687.80",GTS,28-10-2010,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9505566,06-10-2010,05-11-2010,"3,98,422.10",GTS,16-11-2010,11,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9505641,15-10-2010,14-11-2010,"55,934.18",GTS,18-11-2010,4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,BMS,2013-10-03,00056528,  FIG9505686,20-10-2010,19-11-2010,"4,923.26",GTS,30-11-2010,11,Settled,31-07-2014,,,,,,,,,Paper invoice
